,DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,CANTIDAD
3241,CAUCA,SUÁREZ,19780,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-13,1
3242,NARIÑO,OLAYA HERRERA,52490,NO REPORTADO,2020-01-14,1
3243,NORTE DE SANTANDER,TIBÚ,54810,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-14,1
3244,ANTIOQUIA,TARAZA,5790,NO REPORTADO,2020-01-15,1
3245,CHOCÓ,MEDIO SAN JUAN,27450,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-16,1
3246,NORTE DE SANTANDER,HACARÍ,54344,NO REPORTADO,2020-01-16,1
3247,ANTIOQUIA,SEGOVIA,5736,ARTEFACTO INCENDIARIO,2020-01-17,1
3248,ANTIOQUIA,APARTADO,5045,MINA ANTIPERSONA,2020-01-17,1
3249,ARAUCA,SARAVENA,81736,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-17,1
3250,NARIÑO,EL CHARCO,52250,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-17,1
3251,ARAUCA,FORTUL,81300,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-18,1
3252,ARAUCA,ARAUQUITA,81065,GRANADA DE FUSIL,2020-01-18,1
3253,TOLIMA,CHAPARRAL,73168,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-18,1
3254,ARAUCA,FORTUL,81300,NO REPORTADO,2020-01-19,1
3255,NARIÑO,BARBACOAS,52079,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-19,1
3256,ANTIOQUIA,APARTADO,5045,MINA ANTIPERSONA,2020-01-20,1
3257,ANTIOQUIA,TARAZA,5790,NO REPORTADO,2020-01-21,1
3258,ARAUCA,TAME,81794,GRANADA DE MORTERO,2020-01-21,1
3259,ANTIOQUIA,CAUCASIA,5154,NO REPORTADO,2020-01-23,1
3260,CORDOBA,SAN JOSE DE URE,23682,GRANADA DE MANO,2020-01-23,1
3261,CHOCÓ,LITORAL DEL BAJO SAN JUAN,27250,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-24,1
3262,META,ACACÍAS,50006,GRANADA DE MANO,2020-01-24,1
3263,ARAUCA,ARAUCA,81001,ARTEFACTO INCENDIARIO,2020-01-25,2
3264,CAUCA,CALDONO,19137,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-26,1
3265,VALLE DEL CAUCA,FLORIDA,76275,ARTEFACTO INCENDIARIO,2020-01-27,1
3266,ARAUCA,ARAUQUITA,81065,COMBUSTIBLE,2020-01-28,1
3267,GUAVIARE,EL RETORNO,95025,MINA ANTIPERSONA,2020-01-28,1
3268,ARAUCA,ARAUCA,81001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-29,1
3269,ARAUCA,TAME,81794,NO REPORTADO,2020-01-29,2
3270,VALLE DEL CAUCA,JAMUNDÍ,76364,GRANADA DE MANO,2020-01-29,1
3271,ARAUCA,SARAVENA,81736,NO REPORTADO,2020-01-30,1
3272,NARIÑO,ROBERTO PAYÁN,52621,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-30,1
3273,ARAUCA,SARAVENA,81736,NO REPORTADO,2020-01-31,1
3274,ANTIOQUIA,TARAZA,5790,GRANADA DE MANO,2020-02-01,1
3275,ANTIOQUIA,TARAZA,5790,NO REPORTADO,2020-02-01,1
3276,BOLIVAR,CANTAGALLO,13160,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-02-01,1
3277,BOGOTA D.C.,BOGOTÁ D.C.,11001,ARMA DE FUEGO,2020-02-01,1
3278,ARAUCA,FORTUL,81300,NO REPORTADO,2020-02-02,1
3279,ARAUCA,ARAUQUITA,81065,NO REPORTADO,2020-02-03,1
3280,VICHADA,CUMARIBO,99773,NO REPORTADO,2020-02-03,1
3281,ARAUCA,ARAUCA,81001,NO REPORTADO,2020-02-04,1
3282,GUAVIARE,EL RETORNO,95025,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-02-04,1
3283,NORTE DE SANTANDER,ÁBREGO,54003,ARTEFACTO INCENDIARIO,2020-02-05,1
3284,NORTE DE SANTANDER,OCAÑA,54498,ARTEFACTO INCENDIARIO,2020-02-05,1
3285,CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753,NO REPORTADO,2020-02-06,1
3286,CAUCA,SANTANDER DE QUILICHAO,19698,GRANADA DE MANO,2020-02-06,1
3287,CHOCÓ,TADÓ,27787,COMBUSTIBLE,2020-02-06,1
3288,GUAVIARE,EL RETORNO,95025,MINA ANTIPERSONA,2020-02-06,1
3289,ANTIOQUIA,MEDELLIN,5001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-02-07,1
3290,ANTIOQUIA,EL BAGRE,5250,GRANADA DE MANO,2020-02-07,1
3291,CÓRDOBA,PUERTO LIBERTADOR,23580,GRANADA DE MANO,2020-02-07,1
3292,GUAVIARE,EL RETORNO,95025,MINA ANTIPERSONA,2020-02-07,1
3293,GUAVIARE,EL RETORNO,95025,CILINDRO BOMBA,2020-02-07,1
3294,GUAVIARE,EL RETORNO,95025,MINA ANTIPERSONA,2020-02-08,1
3295,ANTIOQUIA,MURINDO,5475,GRANADA DE MANO,2020-02-09,1
3296,ARAUCA,FORTUL,81300,ARMA DE FUEGO,2020-02-10,1
3297,GUAVIARE,EL RETORNO,95025,MINA ANTIPERSONA,2020-02-10,1
3298,NORTE DE SANTANDER,CONVENCIÓN,54206,ARMA DE FUEGO,2020-02-10,1
3299,TOLIMA,IBAGUÉ,73001,ARMA DE FUEGO,2020-02-10,1
3300,TOLIMA,CHAPARRAL,73168,NO REPORTADO,2020-02-11,1
3301,ARAUCA,SARAVENA,81736,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-02-12,1
3302,NORTE DE SANTANDER,ÁBREGO,54003,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-02-12,1
3303,NORTE DE SANTANDER,CÚCUTA,54001,COMBUSTIBLE,2020-02-12,1
3304,NORTE DE SANTANDER,CONVENCIÓN,54206,NO REPORTADO,2020-02-12,3
3305,NORTE DE SANTANDER,CÚCUTA,54001,NO REPORTADO,2020-02-12,1
3306,ARAUCA,PUERTO RONDÓN,81591,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-02-13,1
3307,ARAUCA,FORTUL,81300,NO REPORTADO,2020-02-13,1
3308,CESAR,PELAYA,20550,ARTEFACTO INCENDIARIO,2020-02-13,1
3309,NORTE DE SANTANDER,HACARÍ,54344,NO REPORTADO,2020-02-13,1
3310,ANTIOQUIA,PUERTO BERRIO,5579,ARMA DE FUEGO,2020-02-14,1
3311,ARAUCA,ARAUQUITA,81065,NO REPORTADO,2020-02-14,1
3312,ARAUCA,FORTUL,81300,NO REPORTADO,2020-02-14,1
3313,ARAUCA,SARAVENA,81736,NO REPORTADO,2020-02-14,1
3314,CESAR,PELAYA,20550,COMBUSTIBLE,2020-02-14,1
3315,CESAR,PELAYA,20550,NO REPORTADO,2020-02-14,1
3316,CUNDINAMARCA,GIRARDOT,25307,NO REPORTADO,2020-02-14,1
3317,META,PUERTO GAITÁN,50568,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-02-14,1
3318,NORTE DE SANTANDER,EL ZULIA,54261,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-02-14,1
3319,NORTE DE SANTANDER,OCAÑA,54498,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-02-14,1
3320,ARAUCA,CRAVO NORTE,81220,NO REPORTADO,2020-02-15,1
3321,ARAUCA,FORTUL,81300,NO REPORTADO,2020-02-15,1
3322,ARAUCA,FORTUL,81300,NO REPORTADO,2020-02-15,2
3323,CAUCA,BALBOA,19075,NO REPORTADO,2020-02-15,1
3324,CESAR,CURUMANÍ,20228,GRANADA DE MANO,2020-02-15,1
3325,CESAR,PAILITAS,20517,ARTEFACTO INCENDIARIO,2020-02-15,1
3326,CESAR,PAILITAS,20517,NO REPORTADO,2020-02-15,1
3327,CHOCÓ,EL CARMEN DE ATRATO,27245,ARMA DE FUEGO,2020-02-15,1
3328,NORTE DE SANTANDER,PAMPLONA,54518,ARMA DE FUEGO,2020-02-15,1
3329,ANTIOQUIA,ANORI,5040,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-02-16,1
3330,CAUCA,BALBOA,19075,NO REPORTADO,2020-02-16,1
3331,CESAR,VALLEDUPAR,20001,ARTEFACTO INCENDIARIO,2020-02-16,1
3332,CHOCÓ,TADÓ,27787,ARMA DE FUEGO,2020-02-16,1
3333,MAGDALENA,GUAMAL,47318,NO REPORTADO,2020-02-16,1
3334,NARIÑO,MALLAMA,52435,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-02-16,1
3335,NORTE DE SANTANDER,TIBÚ,54810,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-02-16,1
3336,CAUCA,ROSAS,19622,CARRO BOMBA,2020-02-17,1
3337,CESAR,CURUMANÍ,20228,ARMA DE FUEGO,2020-02-17,1
