,FECHA HECHO,COD_DEPTO,DEPARTAMENTO,CODIGO DANE,MUNICIPIO,TIPO DELITO,CANTIDAD,MES DE SECUESTRO
11148,2002-08-23,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,SECUESTRO SIMPLE,1,8
11149,2002-08-24,11,CUNDINAMARCA,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1,8
11150,2002-08-24,44,LA GUAJIRA,44430,MAICAO,SECUESTRO SIMPLE,1,8
11151,2002-08-24,52,NARIÑO,52612,RICAURTE,SECUESTRO EXTORSIVO,1,8
11152,2002-08-25,13,BOLÍVAR,13810,TIQUISIO,SECUESTRO EXTORSIVO,1,8
11153,2002-08-25,15,BOYACÁ,15377,LABRANZAGRANDE,SECUESTRO EXTORSIVO,2,8
11154,2002-08-25,27,CHOCÓ,27787,TADO,SECUESTRO EXTORSIVO,3,8
11155,2002-08-25,68,SANTANDER,68500,OIBA,SECUESTRO EXTORSIVO,1,8
11156,2002-08-25,73,TOLIMA,73001,IBAGUE,SECUESTRO EXTORSIVO,1,8
11157,2002-08-26,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,1,8
11158,2002-08-26,15,BOYACÁ,15518,PAJARITO,SECUESTRO EXTORSIVO,1,8
11159,2002-08-26,17,CALDAS,17088,BELALCAZAR,SECUESTRO EXTORSIVO,1,8
11160,2002-08-26,76,VALLE DEL CAUCA,76001,CALI,SECUESTRO EXTORSIVO,1,8
11161,2002-08-27,18,CAQUETÁ,18610,SAN JOSE DEL FRAGUA,SECUESTRO EXTORSIVO,1,8
11162,2002-08-27,44,LA GUAJIRA,44090,DIBULLA,SECUESTRO EXTORSIVO,3,8
11163,2002-08-27,47,MAGDALENA,47189,CIENAGA,SECUESTRO EXTORSIVO,1,8
11164,2002-08-27,47,MAGDALENA,47268,EL RETEN,SECUESTRO EXTORSIVO,3,8
11165,2002-08-28,15,BOYACÁ,15759,SOGAMOSO,SECUESTRO SIMPLE,1,8
11166,2002-08-28,19,CAUCA,19548,PIENDAMO,SECUESTRO EXTORSIVO,1,8
11167,2002-08-28,25,CUNDINAMARCA,25815,TOCAIMA,SECUESTRO EXTORSIVO,1,8
11168,2002-08-28,25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,SECUESTRO EXTORSIVO,3,8
11169,2002-08-28,44,LA GUAJIRA,44090,DIBULLA,SECUESTRO EXTORSIVO,14,8
11170,2002-08-28,47,MAGDALENA,47001,SANTA MARTA,SECUESTRO EXTORSIVO,1,8
11171,2002-08-28,54,NORTE DE SANTANDER,54001,CUCUTA,SECUESTRO SIMPLE,1,8
11172,2002-08-28,70,SUCRE,70001,SINCELEJO,SECUESTRO SIMPLE,1,8
11173,2002-08-28,73,TOLIMA,73001,IBAGUE,SECUESTRO EXTORSIVO,1,8
11174,2002-08-29,5,ANTIOQUIA,5660,SAN LUIS,SECUESTRO EXTORSIVO,1,8
11175,2002-08-29,15,BOYACÁ,15180,CHISCAS,SECUESTRO EXTORSIVO,1,8
11176,2002-08-29,25,CUNDINAMARCA,25718,SASAIMA,SECUESTRO SIMPLE,1,8
11177,2002-08-30,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,1,8
11178,2002-08-30,11,CUNDINAMARCA,11001,"BOGOTA, D.C.",SECUESTRO SIMPLE,1,8
11179,2002-08-30,47,MAGDALENA,47001,SANTA MARTA,SECUESTRO EXTORSIVO,1,8
11180,2002-08-31,5,ANTIOQUIA,5660,SAN LUIS,SECUESTRO EXTORSIVO,1,8
11181,2002-08-31,20,CESAR,20228,CURUMANI,SECUESTRO EXTORSIVO,2,8
11182,2002-08-31,20,CESAR,20228,CURUMANI,SECUESTRO SIMPLE,1,8
11183,2002-08-31,25,CUNDINAMARCA,25297,GACHETA,SECUESTRO EXTORSIVO,1,8
11184,2002-09-01,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,3,9
11185,2002-09-01,13,BOLÍVAR,13473,MORALES,SECUESTRO EXTORSIVO,1,9
11186,2002-09-01,20,CESAR,20517,PAILITAS,SECUESTRO EXTORSIVO,1,9
11187,2002-09-01,25,CUNDINAMARCA,25154,CARMEN DE CARUPA,SECUESTRO EXTORSIVO,1,9
