DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,TIPO DE HURTO,CANTIDAD
CUNDINAMARCA,LA CALERA,25377000,SIN EMPLEO DE ARMAS,25/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,QUETAME,25594000,SIN EMPLEO DE ARMAS,25/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,VISTAHERMOSA,50711000,SIN EMPLEO DE ARMAS,25/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
NARIÑO,LA UNIÓN,52399000,SIN EMPLEO DE ARMAS,25/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE,SAN PEDRO,76670000,SIN EMPLEO DE ARMAS,25/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,26/06/2019,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
BOLÍVAR,ARJONA,13052000,ARMA BLANCA / CORTOPUNZANTE,26/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
NARIÑO,SAN BERNARDO,52685000,ARMA BLANCA / CORTOPUNZANTE,26/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,VILLAVICENCIO (CT),50001000,NO REPORTA,26/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,ANORÍ,05040000,SIN EMPLEO DE ARMAS,26/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACÁ,SAN PABLO DE BORBUR,15681000,SIN EMPLEO DE ARMAS,26/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,SABANALARGA,85300000,SIN EMPLEO DE ARMAS,26/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CESAR,PAILITAS,20517000,SIN EMPLEO DE ARMAS,26/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,FUNZA,25286000,SIN EMPLEO DE ARMAS,26/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,SIBATÉ,25740000,SIN EMPLEO DE ARMAS,26/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
MAGDALENA,ARIGUANÍ,47058000,SIN EMPLEO DE ARMAS,26/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,DOLORES,73236000,SIN EMPLEO DE ARMAS,26/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,CHOCONTÁ,25183000,ARMA DE FUEGO,27/06/2019,FEMENINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,27/06/2019,NO REPORTA,NO REPORTA,HURTO ENTIDADES FINANCIERAS,1
CASANARE,YOPAL (CT),85001000,ARMA BLANCA / CORTOPUNZANTE,27/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
